dataset,sample_index,USER_ID,seed,fold,split_role,y_true
dili_multiclass,1,1935,46,2,train,2
dili_multiclass,2,2157,46,2,train,2
dili_multiclass,3,2165,46,2,train,2
dili_multiclass,4,2265,46,2,train,2
dili_multiclass,5,2478,46,2,train,2
dili_multiclass,6,2554,46,2,train,2
dili_multiclass,7,2726,46,2,train,2
dili_multiclass,9,2955,46,2,train,2
dili_multiclass,10,3033,46,2,train,2
dili_multiclass,11,3117,46,2,train,2
dili_multiclass,12,3385,46,2,train,2
dili_multiclass,13,3397,46,2,train,2
dili_multiclass,15,3637,46,2,train,2
dili_multiclass,16,3672,46,2,train,2
dili_multiclass,17,3767,46,2,train,2
dili_multiclass,18,3878,46,2,train,2
dili_multiclass,19,4449,46,2,train,2
dili_multiclass,20,4463,46,2,train,2
dili_multiclass,21,4495,46,2,train,2
dili_multiclass,22,4583,46,2,train,2
dili_multiclass,23,5352,46,2,train,2
dili_multiclass,25,5790,46,2,train,2
dili_multiclass,26,5852,46,2,train,2
dili_multiclass,27,12560,46,2,train,2
dili_multiclass,28,18283,46,2,train,2
dili_multiclass,29,38853,46,2,train,2
dili_multiclass,30,47576,46,2,train,2
dili_multiclass,31,54454,46,2,train,2
dili_multiclass,32,55185,46,2,train,2
dili_multiclass,35,126941,46,2,train,2
dili_multiclass,36,149096,46,2,train,2
dili_multiclass,37,441074,46,2,train,2
dili_multiclass,38,441401,46,2,train,2
dili_multiclass,40,667490,46,2,train,2
dili_multiclass,41,1349907,46,2,train,2
dili_multiclass,42,2723601,46,2,train,2
dili_multiclass,43,5353830,46,2,train,2
dili_multiclass,44,5388906,46,2,train,0
dili_multiclass,45,5464436,46,2,train,1
dili_multiclass,46,9887054,46,2,train,2
dili_multiclass,47,54675783,46,2,train,2
dili_multiclass,48,135398739,46,2,train,2
dili_multiclass,49,135401907,46,2,train,2
dili_multiclass,50,938,46,2,train,2
dili_multiclass,51,1983,46,2,train,2
dili_multiclass,52,2244,46,2,train,2
dili_multiclass,53,3007,46,2,train,2
dili_multiclass,54,5161,46,2,train,2
dili_multiclass,55,5760,46,2,train,2
dili_multiclass,56,23925,46,2,train,2
dili_multiclass,57,23978,46,2,train,2
dili_multiclass,58,29051,46,2,train,2
dili_multiclass,59,518740,46,2,train,2
dili_multiclass,61,298,46,2,train,2
dili_multiclass,62,1302,46,2,train,2
dili_multiclass,63,2082,46,2,train,2
dili_multiclass,64,2160,46,2,train,2
dili_multiclass,65,2333,46,2,train,2
dili_multiclass,66,2520,46,2,train,2
dili_multiclass,67,2662,46,2,train,2
dili_multiclass,68,2733,46,2,train,2
dili_multiclass,69,2756,46,2,train,2
dili_multiclass,70,2764,46,2,train,2
dili_multiclass,72,3114,46,2,train,2
dili_multiclass,73,3226,46,2,train,2
dili_multiclass,74,3331,46,2,train,2
dili_multiclass,75,3339,46,2,train,2
dili_multiclass,76,3365,46,2,train,2
dili_multiclass,77,3559,46,2,train,2
dili_multiclass,78,3696,46,2,train,2
dili_multiclass,79,3763,46,2,train,2
dili_multiclass,80,3821,46,2,train,2
dili_multiclass,81,3899,46,2,train,2
dili_multiclass,82,4091,46,2,train,2
dili_multiclass,83,4485,46,2,train,2
dili_multiclass,84,4594,46,2,train,2
dili_multiclass,85,4763,46,2,train,2
dili_multiclass,87,5002,46,2,train,2
dili_multiclass,89,5291,46,2,train,2
dili_multiclass,90,5394,46,2,train,2
dili_multiclass,91,5402,46,2,train,2
dili_multiclass,92,5426,46,2,train,2
dili_multiclass,93,5452,46,2,train,2
dili_multiclass,94,5533,46,2,train,2
dili_multiclass,95,5646,46,2,train,2
dili_multiclass,96,5656,46,2,train,2
dili_multiclass,97,6196,46,2,train,2
dili_multiclass,98,8549,46,2,train,2
dili_multiclass,99,18381,46,2,train,2
dili_multiclass,100,29029,46,2,train,2
dili_multiclass,101,33613,46,2,train,2
dili_multiclass,102,35370,46,2,train,2
dili_multiclass,103,43672,46,2,train,2
dili_multiclass,105,44093,46,2,train,2
dili_multiclass,107,54687,46,2,train,2
dili_multiclass,108,55283,46,2,train,2
dili_multiclass,109,56069,46,2,train,2
dili_multiclass,110,60606,46,2,train,2
dili_multiclass,111,60835,46,2,train,2
dili_multiclass,112,60838,46,2,train,2
dili_multiclass,113,68617,46,2,train,2
dili_multiclass,114,71616,46,2,train,2
dili_multiclass,115,84029,46,2,train,2
dili_multiclass,116,123631,46,2,train,2
dili_multiclass,117,152946,46,2,train,2
dili_multiclass,118,176870,46,2,train,2
dili_multiclass,119,208908,46,2,train,2
dili_multiclass,120,216239,46,2,train,2
dili_multiclass,121,441141,46,2,train,2
dili_multiclass,122,441184,46,2,train,2
dili_multiclass,123,1548972,46,2,train,2
dili_multiclass,124,2733526,46,2,train,2
dili_multiclass,125,3001055,46,2,train,2
dili_multiclass,126,3081884,46,2,train,2
dili_multiclass,127,5281040,46,2,train,2
dili_multiclass,128,5284537,46,2,train,2
dili_multiclass,129,5329102,46,2,train,2
dili_multiclass,130,5362032,46,2,train,2
dili_multiclass,132,6439133,46,2,train,2
dili_multiclass,133,9875401,46,2,train,2
dili_multiclass,134,11167602,46,2,train,2
dili_multiclass,135,54671203,46,2,train,2
dili_multiclass,136,54676228,46,2,train,2
dili_multiclass,137,135398737,46,2,train,2
dili_multiclass,138,135398738,46,2,train,2
dili_multiclass,139,4053,46,2,train,2
dili_multiclass,140,5746,46,2,train,2
dili_multiclass,143,2019,46,2,train,1
dili_multiclass,144,2092,46,2,train,1
dili_multiclass,145,2162,46,2,train,1
dili_multiclass,146,2187,46,2,train,1
dili_multiclass,147,2541,46,2,train,1
dili_multiclass,148,2678,46,2,train,1
dili_multiclass,149,2771,46,2,train,1
dili_multiclass,150,2913,46,2,train,1
dili_multiclass,151,3308,46,2,train,1
dili_multiclass,152,3325,46,2,train,1
dili_multiclass,153,3356,46,2,train,1
dili_multiclass,154,3372,46,2,train,1
dili_multiclass,155,3386,46,2,train,1
dili_multiclass,156,3394,46,2,train,1
dili_multiclass,157,3446,46,2,train,1
dili_multiclass,158,3463,46,2,train,1
dili_multiclass,159,3652,46,2,train,1
dili_multiclass,160,3657,46,2,train,1
dili_multiclass,161,3675,46,2,train,1
dili_multiclass,162,3715,46,2,train,1
dili_multiclass,163,3749,46,2,train,1
dili_multiclass,164,3825,46,2,train,1
dili_multiclass,165,3869,46,2,train,1
dili_multiclass,166,3883,46,2,train,1
dili_multiclass,167,3961,46,2,train,1
dili_multiclass,168,4168,46,2,train,1
dili_multiclass,169,4173,46,2,train,1
dili_multiclass,171,4205,46,2,train,1
dili_multiclass,173,4539,46,2,train,1
dili_multiclass,174,4543,46,2,train,1
dili_multiclass,175,4614,46,2,train,1
dili_multiclass,176,4679,46,2,train,1
dili_multiclass,177,4829,46,2,train,1
dili_multiclass,178,4913,46,2,train,1
dili_multiclass,179,5070,46,2,train,1
dili_multiclass,180,5073,46,2,train,1
dili_multiclass,181,5090,46,2,train,1
dili_multiclass,182,5487,46,2,train,1
dili_multiclass,183,5717,46,2,train,1
dili_multiclass,184,6249,46,2,train,1
dili_multiclass,185,6253,46,2,train,1
dili_multiclass,187,14956,46,2,train,1
dili_multiclass,188,21844,46,2,train,1
dili_multiclass,189,34312,46,2,train,1
dili_multiclass,190,36462,46,2,train,1
dili_multiclass,192,42113,46,2,train,1
dili_multiclass,193,54841,46,2,train,1
dili_multiclass,194,60198,46,2,train,1
dili_multiclass,195,60750,46,2,train,1
dili_multiclass,196,60854,46,2,train,1
dili_multiclass,197,65140,46,2,train,1
dili_multiclass,198,65404,46,2,train,1
dili_multiclass,199,65628,46,2,train,1
dili_multiclass,200,77999,46,2,train,1
dili_multiclass,201,93860,46,2,train,1
dili_multiclass,202,104865,46,2,train,1
dili_multiclass,203,134018,46,2,train,1
dili_multiclass,204,148124,46,2,train,1
dili_multiclass,205,150311,46,2,train,1
dili_multiclass,206,208898,46,2,train,1
dili_multiclass,207,216237,46,2,train,1
dili_multiclass,208,383414,46,2,train,1
dili_multiclass,209,392622,46,2,train,1
dili_multiclass,210,439492,46,2,train,1
dili_multiclass,211,441140,46,2,train,1
dili_multiclass,212,441203,46,2,train,1
dili_multiclass,214,464205,46,2,train,1
dili_multiclass,215,667477,46,2,train,1
dili_multiclass,216,3034010,46,2,train,1
dili_multiclass,217,4659569,46,2,train,1
dili_multiclass,218,5282379,46,2,train,1
dili_multiclass,219,5284627,46,2,train,1
dili_multiclass,220,5310966,46,2,train,1
dili_multiclass,221,5352062,46,2,train,1
dili_multiclass,222,5362129,46,2,train,1
dili_multiclass,223,5362440,46,2,train,1
dili_multiclass,225,6435893,46,2,train,1
dili_multiclass,226,6436030,46,2,train,1
dili_multiclass,229,10113978,46,2,train,1
dili_multiclass,230,11626560,46,2,train,1
dili_multiclass,231,16129629,46,2,train,1
dili_multiclass,232,24776445,46,2,train,1
dili_multiclass,233,25126798,46,2,train,1
dili_multiclass,234,54677470,46,2,train,1
dili_multiclass,235,54678486,46,2,train,1
dili_multiclass,236,135398744,46,2,train,1
dili_multiclass,237,4158,46,2,train,1
dili_multiclass,238,6468,46,2,train,1
dili_multiclass,239,108150,46,2,train,1
dili_multiclass,240,247,46,2,train,0
dili_multiclass,241,896,46,2,train,0
dili_multiclass,242,942,46,2,train,0
dili_multiclass,243,2130,46,2,train,0
dili_multiclass,244,2153,46,2,train,0
dili_multiclass,246,2369,46,2,train,0
dili_multiclass,247,2381,46,2,train,0
dili_multiclass,248,2391,46,2,train,0
dili_multiclass,250,2477,46,2,train,0
dili_multiclass,251,2564,46,2,train,0
dili_multiclass,252,2576,46,2,train,0
dili_multiclass,254,2754,46,2,train,0
dili_multiclass,255,2789,46,2,train,0
dili_multiclass,256,2794,46,2,train,0
dili_multiclass,257,2803,46,2,train,0
dili_multiclass,258,2812,46,2,train,0
dili_multiclass,259,2973,46,2,train,0
dili_multiclass,260,3080,46,2,train,0
dili_multiclass,261,3100,46,2,train,0
dili_multiclass,263,3261,46,2,train,0
dili_multiclass,264,3324,46,2,train,0
dili_multiclass,265,3333,46,2,train,0
dili_multiclass,266,3345,46,2,train,0
dili_multiclass,267,3348,46,2,train,0
dili_multiclass,268,3467,46,2,train,0
dili_multiclass,269,3519,46,2,train,0
dili_multiclass,270,3599,46,2,train,0
dili_multiclass,271,3658,46,2,train,0
dili_multiclass,272,3784,46,2,train,0
dili_multiclass,273,3911,46,2,train,0
dili_multiclass,274,3958,46,2,train,0
dili_multiclass,275,4033,46,2,train,0
dili_multiclass,276,4034,46,2,train,0
dili_multiclass,277,4107,46,2,train,0
dili_multiclass,278,4192,46,2,train,0
dili_multiclass,279,4201,46,2,train,0
dili_multiclass,280,4236,46,2,train,0
dili_multiclass,281,4497,46,2,train,0
dili_multiclass,282,4499,46,2,train,0
dili_multiclass,283,4601,46,2,train,0
dili_multiclass,284,4616,46,2,train,0
dili_multiclass,285,4771,46,2,train,0
dili_multiclass,286,4828,46,2,train,0
dili_multiclass,287,4908,46,2,train,0
dili_multiclass,288,4927,46,2,train,0
dili_multiclass,289,4946,46,2,train,0
dili_multiclass,290,4999,46,2,train,0
dili_multiclass,291,5071,46,2,train,0
dili_multiclass,292,5253,46,2,train,0
dili_multiclass,294,5391,46,2,train,0
dili_multiclass,295,5401,46,2,train,0
dili_multiclass,296,5719,46,2,train,0
dili_multiclass,297,5732,46,2,train,0
dili_multiclass,298,5770,46,2,train,0
dili_multiclass,299,5918,46,2,train,0
dili_multiclass,300,6005,46,2,train,0
dili_multiclass,302,6047,46,2,train,0
dili_multiclass,303,6167,46,2,train,0
dili_multiclass,304,6256,46,2,train,0
dili_multiclass,305,6726,46,2,train,0
dili_multiclass,307,7029,46,2,train,0
dili_multiclass,309,8969,46,2,train,0
dili_multiclass,310,9354,46,2,train,0
dili_multiclass,311,9651,46,2,train,0
dili_multiclass,312,12035,46,2,train,0
dili_multiclass,314,15459,46,2,train,0
dili_multiclass,315,16362,46,2,train,0
dili_multiclass,316,16960,46,2,train,0
dili_multiclass,317,20279,46,2,train,0
dili_multiclass,318,23994,46,2,train,0
dili_multiclass,319,26757,46,2,train,0
dili_multiclass,320,26987,46,2,train,0
dili_multiclass,321,28486,46,2,train,0
dili_multiclass,322,33624,46,2,train,0
dili_multiclass,323,37464,46,2,train,0
dili_multiclass,324,37768,46,2,train,0
dili_multiclass,327,51634,46,2,train,0
dili_multiclass,329,59227,46,2,train,0
dili_multiclass,330,59768,46,2,train,0
dili_multiclass,331,59868,46,2,train,0
dili_multiclass,332,60613,46,2,train,0
dili_multiclass,333,60648,46,2,train,0
dili_multiclass,334,60795,46,2,train,0
dili_multiclass,335,60825,46,2,train,0
dili_multiclass,336,60855,46,2,train,0
dili_multiclass,337,62816,46,2,train,0
dili_multiclass,338,63006,46,2,train,0
dili_multiclass,339,71158,46,2,train,0
dili_multiclass,340,71301,46,2,train,0
dili_multiclass,341,71329,46,2,train,0
dili_multiclass,343,71433,46,2,train,0
dili_multiclass,344,71815,46,2,train,0
dili_multiclass,345,83898,46,2,train,0
dili_multiclass,346,115237,46,2,train,0
dili_multiclass,347,115355,46,2,train,0
dili_multiclass,348,121396,46,2,train,0
dili_multiclass,349,132999,46,2,train,0
dili_multiclass,350,152945,46,2,train,0
dili_multiclass,352,160051,46,2,train,0
dili_multiclass,353,174174,46,2,train,0
dili_multiclass,354,197712,46,2,train,0
dili_multiclass,356,441281,46,2,train,0
dili_multiclass,357,441314,46,2,train,0
dili_multiclass,358,443940,46,2,train,0
dili_multiclass,359,445154,46,2,train,0
dili_multiclass,360,449193,46,2,train,0
dili_multiclass,361,636380,46,2,train,0
dili_multiclass,362,656719,46,2,train,0
dili_multiclass,363,708857,46,2,train,0
dili_multiclass,365,3000502,46,2,train,0
dili_multiclass,366,3052762,46,2,train,0
dili_multiclass,368,3086319,46,2,train,0
dili_multiclass,369,5282443,46,2,train,0
dili_multiclass,370,5284514,46,2,train,0
dili_multiclass,371,5284594,46,2,train,0
dili_multiclass,372,5284596,46,2,train,0
dili_multiclass,373,5311454,46,2,train,0
dili_multiclass,374,5742832,46,2,train,0
