dataset,sample_index,USER_ID,seed,fold,model_name,y_true,y_pred,proba_0,proba_1,proba_2,pred_from_probs,predicted_probability,decision_margin,correct,argmax_matches_predict,true_class_name,predicted_class_name,selection_category
dili_multiclass,273,3911,43,10,bworf_mi,0,0,0.76,0.055,0.185,0,0.76,0.575,True,True,Low,Low,high_confidence_correct
dili_multiclass,443,90472060,43,9,bworf_mi,0,0,0.735,0.04,0.225,0,0.735,0.51,True,True,Low,Low,high_confidence_correct
dili_multiclass,385,16130199,43,5,bworf_mi,0,0,0.73,0.075,0.195,0,0.73,0.5349999999999999,True,True,Low,Low,high_confidence_correct
dili_multiclass,387,16133850,43,9,bworf_mi,0,0,0.7,0.105,0.195,0,0.7,0.5049999999999999,True,True,Low,Low,high_confidence_correct
dili_multiclass,522,25154714,43,10,bworf_mi,0,0,0.68,0.11,0.21,0,0.68,0.4700000000000001,True,True,Low,Low,high_confidence_correct
dili_multiclass,371,5284594,43,3,bworf_mi,0,0,0.68,0.095,0.225,0,0.68,0.45500000000000007,True,True,Low,Low,high_confidence_correct
dili_multiclass,520,25084151,43,9,bworf_mi,0,0,0.68,0.23,0.09,0,0.68,0.45000000000000007,True,True,Low,Low,high_confidence_correct
dili_multiclass,502,5360515,43,5,bworf_mi,0,0,0.6666666666666665,0.1316666666666666,0.2016666666666666,0,0.6666666666666665,0.4649999999999999,True,True,Low,Low,high_confidence_correct
dili_multiclass,423,36511,43,10,bworf_mi,0,0,0.66,0.185,0.155,0,0.66,0.47500000000000003,True,True,Low,Low,high_confidence_correct
dili_multiclass,323,37464,43,5,bworf_mi,0,0,0.6566666666666667,0.1966666666666666,0.1466666666666667,0,0.6566666666666667,0.46000000000000013,True,True,Low,Low,high_confidence_correct
dili_multiclass,390,25077179,43,9,bworf_mi,0,0,0.655,0.25,0.095,0,0.655,0.405,True,True,Low,Low,high_confidence_correct
dili_multiclass,330,59768,43,1,bworf_mi,0,0,0.6533333333333333,0.1683333333333333,0.1783333333333333,0,0.6533333333333333,0.47500000000000003,True,True,Low,Low,high_confidence_correct
dili_multiclass,433,54732242,43,3,bworf_mi,0,0,0.65,0.175,0.175,0,0.65,0.47500000000000003,True,True,Low,Low,high_confidence_correct
dili_multiclass,388,16137828,43,1,bworf_mi,0,0,0.64,0.09,0.27,0,0.64,0.37,True,True,Low,Low,high_confidence_correct
dili_multiclass,543,11671467,43,6,bworf_mi,0,0,0.64,0.04,0.32,0,0.64,0.32,True,True,Low,Low,high_confidence_correct
dili_multiclass,498,3010818,43,9,bworf_mi,0,0,0.635,0.21,0.155,0,0.635,0.42500000000000004,True,True,Low,Low,high_confidence_correct
dili_multiclass,440,65015,43,1,bworf_mi,0,0,0.635,0.11,0.255,0,0.635,0.38,True,True,Low,Low,high_confidence_correct
dili_multiclass,399,10071196,43,3,bworf_mi,0,0,0.6333333333333333,0.1283333333333333,0.2383333333333333,0,0.6333333333333333,0.395,True,True,Low,Low,high_confidence_correct
dili_multiclass,537,46220502,43,5,bworf_mi,0,0,0.63,0.13,0.2399999999999999,0,0.63,0.3900000000000001,True,True,Low,Low,high_confidence_correct
dili_multiclass,475,30751,43,9,bworf_mi,0,0,0.63,0.12,0.25,0,0.63,0.38,True,True,Low,Low,high_confidence_correct
dili_multiclass,352,160051,43,7,bworf_mi,0,0,0.625,0.11,0.265,0,0.625,0.36,True,True,Low,Low,high_confidence_correct
